Satellite Name,Company,Type,Award,Launch Date
Intelsat 512,Intelsat,Fixed Satellite Services,1980,9/28/1985
Intelsat 511,Intelsat,Fixed Satellite Services,1980,6/30/1985
Intelsat 510,Intelsat,Fixed Satellite Services,1980,3/22/1985
CS 3 B,NASDA,Government Programs,1978,9/16/1988
CS 3 A,TSCJ/NASDA,Government Programs,1978,2/19/1988
CS 2 B,TSCJ/NASDA,Government Programs,1978,8/6/1983
CS 2 A,TSCJ/NASDA,Government Programs,1978,2/4/1983
INSAT 1D,Indian Space Research Organization,Government Programs,1977,6/12/1990
INSAT 1C ,Indian Space Research Organization,Government Programs,1977,7/21/1988
INSAT 1B,Indian Space Research Organization,Government Programs,1977,9/1/1983
INSAT 1A,Indian Space Research Organization,Government Programs,1977,4/10/1982
Intelsat 515,Intelsat,Fixed Satellite Services,1976,1/27/1989
Intelsat 514,Intelsat,Fixed Satellite Services,1976,5/30/1986
,,,,Launch Failure
Intelsat 513,Intelsat,Fixed Satellite Services,1976,5/17/1988
Intelsat 509,Intelsat,Fixed Satellite Services,1976,6/9/1984
,,,,Launch Failure
Intelsat 508,Intelsat,Fixed Satellite Services,1976,3/5/1984
Intelsat 507,Intelsat,Fixed Satellite Services,1976,10/19/1983
Intelsat 506,Intelsat,Fixed Satellite Services,1976,5/19/1983
Intelsat 505,Intelsat,Fixed Satellite Services,1976,9/28/1982
Intelsat 504,Intelsat,Fixed Satellite Services,1976,3/5/1982
Intelsat 503,Intelsat,Fixed Satellite Services,1976,12/15/1981
Intelsat 502,Intelsat,Fixed Satellite Services,1976,12/6/1980
Intelsat 501,Intelsat,Fixed Satellite Services,1976,5/23/1981
Ayame 2 was ECS 2,NASDA,Government Programs,1975,2/22/1980
,,,,Launch Failure
Ayame 1 was ECS 1,NASDA,Government Programs,1975,2/6/1979
,,,,Launch Failure
ETS II,NASDA,Government Programs,1974,2/23/1977
CS 1 B,NASDA/Mitsubishi Electric Corporation of Japan (MELCO),Government Programs,1974,
CS 1 A,NASDA/Mitsubishi Electric Corporation of Japan (MELCO),Government Programs,1974,12/14/1977
GOES 3 was GOES C,National Oceanic and Atmospheric Administration,Government Programs,1973,6/16/1978
GOES 2 was GOES B,National Oceanic and Atmospheric Administration,Government Programs,1973,6/16/1977
GOES 1 was GOES A/SMS C,National Oceanic and Atmospheric Administration,Government Programs,1973,10/16/1975
NATO III D,US Air Force/SAMSO,Government Programs,1973,11/13/1984
NATO III C,US Air Force/SAMSO,Government Programs,1973,11/18/1978
NATO III B,US Air Force/SAMSO,Government Programs,1973,1/27/1977
NATO III A,US Air Force/SAMSO,Government Programs,1973,4/22/1976
SMS 2 was SMS B,NASA,Government Programs,1970,2/6/1975
SMS 1 was SMS A,NASA,Government Programs,1970,5/17/1974
Skynet 2B,United Kingdom Ministry of Defense ,Government Programs,1970,11/22/1974
,(UK MoD),,,
Skynet 2A,United Kingdom Ministry of Defense ,Government Programs,1970,Launch Failure
,(UK MoD),,,
NATO II B,US Air Force/SAMSO,Government Programs,1967,2/2/1971
NATO II A,US Air Force/SAMSO,Government Programs,1967,3/20/1970
Skynet 1B,US Air Force/SAMSO,Government Programs,1966,9/19/1970
,,,,Launch Failure
Skynet 1A,US Air Force/SAMSO,Government Programs,1966,11/22/1969
